SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
c1ccccc1,OCCOCCO,363.15,0.749947145,1.8579,1.00E-08,1.107952855,246
c1ccccc1,OCCOCCO,323.15,0.785489092,1.9155,1.00E-08,1.130010908,247
c1ccccc1,OCCOCCO,298.15,0.799342393,1.8687,1.00E-08,1.069357607,248
c1ccccc1,OCCOCCO,348.2,0.764636087,1.9755,1.00E-08,1.210863913,249
c1ccccc1,OCCOCCO,363.2,0.749895868,1.953,1.00E-08,1.203104132,250
c1ccccc1,OCCOCCO,333.2,0.777798982,1.992,1.00E-08,1.214201018,251
c1ccccc1,CC1COC(=O)O1,373.15,0.639438918,0.8755,1.00E-08,0.236061082,252
c1ccccc1,CC1COC(=O)O1,298.15,0.762427788,1.335,1.00E-08,0.572572212,253
c1ccccc1,CC1COC(=O)O1,313.15,0.738782169,1.1909,1.00E-08,0.452117831,254
c1ccccc1,CC1COC(=O)O1,303.15,0.754683936,1.203,1.00E-08,0.448316064,255
c1ccccc1,CC1COC(=O)O1,333.15,0.705920613,1.1569,1.00E-08,0.450979387,256
c1ccccc1,CC1COC(=O)O1,323.15,0.722476764,1.1756,1.00E-08,0.453123236,257
CCCCCC,CC(C)=O,373.2,1.248973161,1.5041,1.00E-08,0.255126839,258
CCCCCC,CC(C)=O,333.15,1.434956876,1.6292,1.00E-08,0.194243124,259
CCCCCC,CC(C)=O,373.15,1.249188207,1.5041,1.00E-08,0.254911793,260
